arm,agg_mean,agg_std,sub_recall_mean,sub_recall_std,n_folds
selfcheckgpt,92.62,0.92,67.99,3.61,5
bs_baseline,92.27,1.11,33.16,8.46,5
bs_bayesian,92.15,1.14,33.81,6.94,5
bs_graph,92.15,1.11,33.42,4.3,5
cascade,92.66,0.97,87.99,4.17,5
